Dato;Forklaring;Inn;Ut;Saldo
2026-01-16;Innbetaling fra Lunde AS / Faktura 1001;4750.00;;104750.00
2026-01-17;Innbetaling fra Stølsvik AS / Faktura 1002;15250.00;;120000.00
2026-01-20;Innbetaling fra Eide AS / Faktura 1003;21625.00;;141625.00
2026-01-23;Innbetaling fra Stølsvik AS / Faktura 1004;8925.00;;150550.00
2026-01-24;Innbetaling fra Lunde AS / Faktura 1005;20812.50;;171362.50
2026-01-26;Betaling Leverandor Aasen AS;;-19650.00;151712.50
2026-01-29;Betaling Leverandor Vik AS;;-9300.00;142412.50
2026-02-01;Betaling Leverandor Aasen AS;;-15500.00;126912.50
2026-02-02;Renteinntekter;;-1666.61;125245.89
2026-02-04;Bankgebyr;;-192.86;125053.03
2026-02-05;Bankgebyr;;-1328.76;123724.27
