Dato;Forklaring;Inn;Ut;Saldo
2026-01-18;Innbetaling fra Hernández SL / Faktura 1001;23437.50;;123437.50
2026-01-20;Innbetaling fra Pérez SL / Faktura 1002;15875.00;;139312.50
2026-01-21;Innbetaling fra González SL / Faktura 1003;18937.50;;158250.00
2026-01-22;Innbetaling fra Sánchez SL / Faktura 1004;6062.50;;164312.50
2026-01-24;Innbetaling fra Rodríguez SL / Faktura 1005;14700.00;;179012.50
2026-01-26;Betaling Proveedor González SL;;-11700.00;167312.50
2026-01-29;Betaling Proveedor Torres SL;;-17400.00;149912.50
2026-01-31;Betaling Proveedor López SL;;-13950.00;135962.50
2026-02-01;Bankgebyr;440.96;;136403.46
2026-02-03;Skattetrekk;1563.12;;137966.58
2026-02-04;Skattetrekk;1163.48;;139130.06
