Dato;Forklaring;Inn;Ut;Saldo
2026-01-16;Innbetaling fra Wilson Ltd / Faktura 1001;27750.00;;127750.00
2026-01-19;Innbetaling fra Williams Ltd / Faktura 1002;24062.50;;151812.50
2026-01-20;Innbetaling fra Taylor Ltd / Faktura 1003;7675.00;;159487.50
2026-01-23;Innbetaling fra Smith Ltd / Faktura 1004;18625.00;;178112.50
2026-01-24;Innbetaling fra Lewis Ltd / Faktura 1005;26812.50;;204925.00
2026-01-25;Betaling Supplier Harris Ltd;;-9450.00;195475.00
2026-01-26;Betaling Supplier Johnson Ltd;;-17400.00;178075.00
2026-01-27;Betaling Supplier Williams Ltd;;-14800.00;163275.00
2026-01-29;Bankgebyr;482.20;;163757.20
2026-01-30;Renteinntekter;927.54;;164684.74
